Station,Latitude,Longitude,T,Sal,Si,NO3,Phos,Fe,SI_NO3,SI_T
94SUR,-32.7971,-87.0693,21.71788979,34.76301193,1.144688606,0.215131447,0.236063659,5.08E-06,0.098648677,0.467903852
95SUR,-31.4328,-93.9583,22.52370071,35.05101013,0.739127636,0.087512434,0.210336715,5.04E-06,0.09260322,0.429288961
96DCM,-29.7238,-101.1604,17.57990074,35.17028809,1.086301088,0,0.175267234,0.00077108,0.087814035,0.062421392
96SUR,-29.7238,-101.1604,24.25470924,35.74501038,0.50019592,0.130717039,0.129489735,5.18E-06,0.107856652,0.457896803
97DCM,-28.1698,-107.3833,17.9829998,35.30208969,0.886137664,0.378979743,0.192584455,0.000844373,0.100561081,0.075563509
97SUR,-28.1698,-107.3833,24.58060074,35.93429947,0.288636416,0.040744271,0.115355507,5.17E-06,0.04907112,0.383738027
98DCM,-25.8051,-111.7202,19.32010078,35.60699844,0.786036968,0.01753936,0.196843445,0.000867674,0.032381256,0.045748902
98SUR,-25.8051,-111.7202,24.98990059,36.31221008,1.03495574,0.001039441,0.137548178,5.01E-06,0.012037735,0.321061507
99SUR,-21.146,-104.787,24.37891006,36.24679947,0.889294386,0.063573644,0.246719137,5.11E-06,0.024695045,0.266717608
9DCM,39.0864,5.791,16.25320053,37.75831223,0.95047009,0.233660787,0.134083882,0.001147917,0.149018037,0.22082769
9SUR,39.0864,5.791,24.53919029,37.72548676,0.794113576,0.182992473,0.186433911,0.001578498,0.137249318,0.879293621
